date,horizon,portfolio_name,market,baseline,tail_event,probability,source,source_detail
2024-11-08,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-11-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-11-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-11-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2024-11-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-11-15,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-11-18,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-11-19,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2024-11-20,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-11-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-11-22,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2024-11-25,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2024-11-26,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2024-11-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-11-29,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-02,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-04,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-05,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2024-12-09,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2024-12-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-12-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-16,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-12-17,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.06468717008829117,yahoo_chart,yahoo_chart
2024-12-18,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-19,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-20,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-12-23,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2024-12-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-26,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2024-12-30,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2024-12-31,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-02,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-01-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-01-08,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.03846153989434242,yahoo_chart,yahoo_chart
2025-01-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-15,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.03846153989434242,yahoo_chart,yahoo_chart
2025-01-16,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-01-17,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-01-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-01-22,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-01-23,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-01-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.03747072443366051,yahoo_chart,yahoo_chart
2025-01-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-01-28,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-01-29,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-01-30,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-01-31,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-02-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-02-04,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-02-05,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-02-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.043478261679410934,yahoo_chart,yahoo_chart
2025-02-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-02-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-02-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-02-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-02-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-02-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-02-18,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-02-19,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-02-20,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.06468717008829117,yahoo_chart,yahoo_chart
2025-02-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-02-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-02-25,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-02-26,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-02-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-02-28,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-03-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-04,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-05,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-03-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-17,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-03-18,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-19,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-03-20,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-03-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-03-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-03-25,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-03-26,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-03-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-03-28,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-03-31,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-04-01,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-04-02,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.12432432174682617,yahoo_chart,yahoo_chart
2025-04-04,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.16470588743686676,yahoo_chart,yahoo_chart
2025-04-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.16470588743686676,yahoo_chart,yahoo_chart
2025-04-08,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.1666666716337204,yahoo_chart,yahoo_chart
2025-04-09,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-04-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-04-15,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.07692307978868484,yahoo_chart,yahoo_chart
2025-04-16,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-17,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-22,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-04-23,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.07692307978868484,yahoo_chart,yahoo_chart
2025-04-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-25,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-28,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-29,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-04-30,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-01,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-05-02,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-05-05,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-08,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-09,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.043478261679410934,yahoo_chart,yahoo_chart
2025-05-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-15,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-16,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-05-19,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-05-20,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-05-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-05-22,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-05-23,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2025-05-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-05-28,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-05-29,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-05-30,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-02,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-04,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-05,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-09,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-16,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-17,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-18,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-06-20,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-06-23,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-25,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2025-06-26,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-27,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-06-30,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-07-01,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-02,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2025-07-03,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2025-07-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-08,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-09,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-10,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.018518518656492233,yahoo_chart,yahoo_chart
2025-07-15,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.033557046204805374,yahoo_chart,yahoo_chart
2025-07-16,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-17,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-18,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-21,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-22,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-07-23,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-24,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-25,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-28,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.030026109889149666,yahoo_chart,yahoo_chart
2025-07-29,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03846153989434242,yahoo_chart,yahoo_chart
2025-07-30,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-07-31,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,1,0.050034746527671814,yahoo_chart,yahoo_chart
2025-08-01,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-08-04,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-08-05,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.06468717008829117,yahoo_chart,yahoo_chart
2025-08-06,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-08-07,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-08-08,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-08-11,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.03747072443366051,yahoo_chart,yahoo_chart
2025-08-12,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
2025-08-13,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.043478261679410934,yahoo_chart,yahoo_chart
2025-08-14,1,us_quality_tech_finance,us,frozen_calibrated_xgboost,0,0.050034746527671814,yahoo_chart,yahoo_chart
